code used

if (Model_Result.size() > 1)
			{
				for (size_t i = 0; i < Model_Result.size(); i++)
				{
					for (size_t j = 0; j < Model_Result[i].size(); j++)
					{
						/*for (size_t k = 0; k <  Model_Result[i][j].Arcs.size(); k++)
						{
							cout << i << ", " << j << ", " << k << " : " << Model_Result[i][j].Arcs[k].x[0].P[0] << ", " << Model_Result[i][j].Arcs[k].x[1].P[0] << endl;

						}*/
						cout << i << ", " << j << " : " << Model_Result[i][j].Arcs[0].x[0].P[0] << ", " << Model_Result[i][j].Arcs[Model_Result[i][j].Arcs.size()-1].x[1].P[0] << endl;
					}
				}
			}

fake func
minkowski_id
0, 0, 0 : 0.181426, 0.181294
0, 0, 1 : 0.181294, 0.18089
0, 0, 2 : 0.18089, 0.180236
0, 0, 3 : 0.180236, 0.1799
0, 0, 4 : 0.1799, 0.179318
0, 0, 5 : 0.179318, 0.178172
0, 0, 6 : 0.178172, 0.176763
0, 0, 7 : 0.176763, 0.17513
0, 0, 8 : 0.17513, 0.173243
0, 0, 9 : 0.173243, 0.172839
0, 0, 10 : 0.172839, 0.168819
0, 0, 11 : 0.168819, 0.163464
0, 0, 12 : 0.163464, 0.157214
0, 0, 13 : 0.157214, 0.15488
0, 0, 14 : 0.15488, 0.15021
0, 0, 15 : 0.15021, 0.142261
0, 0, 16 : 0.142261, 0.133735
0, 0, 17 : 0.133735, 0.12909
0, 0, 18 : 0.12909, 0.125163
0, 0, 19 : 0.125163, 0.124342
0, 0, 20 : 0.124342, 0.119323
0, 0, 21 : 0.119323, 0.114224
0, 0, 22 : 0.114224, 0.108839
0, 0, 23 : 0.108839, 0.103398
0, 0, 24 : 0.103398, 0.0976624
0, 0, 25 : 0.0976624, 0.0918897
0, 0, 26 : 0.0918897, 0.0900061
0, 0, 27 : 0.0900061, 0.0858133
0, 0, 28 : 0.0858133, 0.0797119
0, 0, 29 : 0.0797119, 0.073313
0, 0, 30 : 0.073313, 0.0669007
0, 1, 0 : 0.178981, 0.179215
0, 1, 1 : 0.179215, 0.180062
0, 1, 2 : 0.180062, 0.18026
0, 1, 3 : 0.18026, 0.180835
0, 1, 4 : 0.180835, 0.181083
0, 1, 5 : 0.181083, 0.181277
0, 1, 6 : 0.181277, 0.181426
0, 2, 0 : 0.118354, 0.118945
0, 2, 1 : 0.118945, 0.125777
0, 2, 2 : 0.125777, 0.131752
0, 2, 3 : 0.131752, 0.133428
0, 2, 4 : 0.133428, 0.140484
0, 2, 5 : 0.140484, 0.14228
0, 2, 6 : 0.14228, 0.14691
0, 2, 7 : 0.14691, 0.147897
0, 2, 8 : 0.147897, 0.151089
0, 2, 9 : 0.151089, 0.154439
0, 2, 10 : 0.154439, 0.155079
0, 2, 11 : 0.155079, 0.158829
0, 2, 12 : 0.158829, 0.160672
0, 2, 13 : 0.160672, 0.162447
0, 2, 14 : 0.162447, 0.165837
0, 2, 15 : 0.165837, 0.165845
0, 2, 16 : 0.165845, 0.169165
0, 2, 17 : 0.169165, 0.17039
0, 2, 18 : 0.17039, 0.172281
0, 2, 19 : 0.172281, 0.173953
0, 2, 20 : 0.173953, 0.175305
0, 2, 21 : 0.175305, 0.176864
