7	7	93	72.888000
7	7	93	66.364000
7	7	93	71.061000
7	7	93	67.521000
7	7	93	70.139000
7	7	93	70.389000
7	7	93	67.556000
7	7	93	66.589000
7	7	93	74.524000
7	7	93	67.572000
7	7	93	76.172000
7	7	93	64.563000
7	7	93	72.392000
7	7	93	69.810000
7	7	93	74.935000
7	7	93	82.970000
7	7	93	73.108000
7	7	93	70.729000
7	7	93	65.026000
7	7	93	71.764000
7	7	94	73.241000
7	7	95	68.548000
7	7	96	73.935000
7	7	97	66.955000
7	7	98	75.406000
7	7	99	74.877000
7	7	100	72.624000
7	7	101	65.711000
7	7	102	63.947000
7	7	103	68.182000
7	7	104	67.550000
7	7	105	62.436000
7	7	106	67.886000
7	7	107	76.259000
7	7	108	67.100000
